parcel_id,owner_name,owner_type,absentee,site_addr,site_unit,site_city,site_zip,mail_city,mail_state,mail_zip,yr_built,bld_sqft,land_sqft,mkt_val,land_val,bld_val,permit_count,distress_kinds,latest_permit_yr,latest_permit_dscr,score
0832260000007,H*** D*** P*** L***,entity,Y,### VALLEY VIEW LN,,HOUSTON,77074,AUSTIN,TX,787**,1956,2072,9600,120151,88800,17637,6,"FLOOD, REPAIR, STORM",2027,RMDL,110
1002350000092,J*** P*** D*** T***,entity,Y,### RIO VILLA DR,,HOUSTON,77049,LA PORTE,TX,775**,1963,960,10800,88050,87850,100,5,FLOOD,2025,APRIL  FLOOD,110
0292140050005,D*** W*** & A*** L***,entity,Y,### TILGHAM ST,6,HOUSTON,77029,PRAIRIE VIEW,TX,774**,1960,2400,17500,199540,148750,18726,4,"DEMO, DEMOLITION, EMERGENCY",2027,DEMO BLDG/ SEWER DISC,105
0511350050013,A*** R*** E*** L***,entity,Y,### CORINTH ST,,HOUSTON,77051,ROSHARON,TX,775**,1950,1560,5000,153850,80000,73850,4,"DEMOLITION, REPAIR",2027,"ONE-STOP REPAIR, SINGLE FAMILY RESIDENTIAL",105
0530230000009,L*** & J*** I*** G*** L***,entity,Y,### HOLMAN ST,4,HOUSTON,77004,FRIENDSWOOD,TX,775**,1938,1728,3202,228568,73646,152873,4,"EMERGENCY, REPAIR",2027,"ONE-STOP REMODEL, DUPLEX",105
0630320080012,L*** O*** C*** L***,entity,Y,### HOLLOCK ST,4,HOUSTON,77075,GREENVILLE,SC,296**,1965,3264,5000,219569,35000,180639,4,"EMERGENCY, STORM",2023,EMERGENCY HABITABILITY REPAIRS SUB BLD 1 SEE MASTE,105
0741520480003,G*** L*** F*** I T***,entity,Y,### MOUNT PLEASANT ST,,HOUSTON,77021,CHICAGO,IL,606**,1955,4264,7760,236995,153120,83875,4,EMERGENCY,2017,EMERGENCY HABITABILITY REPAIRS SUB BLD A SEE MASTE,105
0752000040021,S*** 4*** L***,entity,Y,### PAULA ST,,HOUSTON,77033,WATERTOWN,MA,024**,1970,2860,7068,202224,79162,155342,4,REPAIR,2010,RESIDENTIAL REPAIR PER SPEC LIST,105
0812950000035,A*** I*** L***,entity,Y,### BELMARK ST,,HOUSTON,77033,SUGAR LAND,TX,774**,1952,1502,6710,161918,61798,100120,4,REPAIR,2027,"ONE-STOP CONVERSION, SINGLE FAMILY RESIDENTIAL",105
0451010020023,2*** C*** L*** L***,entity,Y,### BARRINGER LN,4,WEBSTER,77598,CHICAGO,IL,606**,1983,2608,7840,211403,62720,142041,11,"EMERGENCY, FIRE DAMAGE, REPAIR",2026,APT STAIR REPAIR PER SPEC LIST 1-2-5-R2-B 2021 IBC,103
0121710000001,3*** B*** L***,entity,Y,### BREWSTER ST,24,HOUSTON,77026,MONSEY,NY,109**,1950,17526,57128,1488684,628408,860276,11,"EMERGENCY, FIRE DAMAGE, FLOOD, STORM",2021,EMERGENCY HABITABILITY REPAIRS SUB BLD 3 SEE MASTE,100
0180940000031,C*** S*** L***,entity,Y,### N WAYSIDE DR,20,HOUSTON,77020,CANOGA PARK,CA,913**,1960,17832,20000,1786596,340000,1433270,8,"EMERGENCY, FLOOD, REPAIR",2019,EMERGENCY HABITABILITY REPAIRS SUB BLD 2 SEE MASTE,100
0220590000004,H*** R*** A*** L*** & E***,entity,Y,### HARRIET,24,HOUSTON,77023,ROSHARON,TX,775**,1960,11340,11900,995350,238000,757350,7,"FIRELOSS, REPAIR, VACANT",2025,FIRELOSS#1810290350/HWY OR DIVIDED HWY,100
0240050020034,S*** I*** L***,entity,Y,### S IOWA ST,,LA PORTE,77571,PASADENA,TX,775**,1950,2727,9375,231250,55781,175469,3,DEMO,2027,NEW DWG,100
