parcel_id,owner_name,owner_type,site_addr,delinquent_amount,prior_year_delinquent,score
17084400700,V*** S*** L***,entity,### MOUNT WILKINSON PKWY $,166551.31,,83
16071800070,T*** L*** I*** K*** L***,entity,### COBB PLACE BLVD $,94965.17,,83
19085400700,M*** H*** M*** L***,entity,### FLOYD RD $,63833.66,,83
17028500450,5*** S*** C*** L***,entity,### COBB DR $,50959.47,,83
17088200070,C*** I***,entity,### CUMBERLAND PKWY $,37917.32,,83
16057900040,D*** H*** I***,entity,### GEORGE BUSBEE PKWY $,35373.11,,83
16071800020,I*** A*** L*** S*** L*** T***,entity,### COBB PLACE BLVD $,29116.57,,83
17008500390,5*** S*** L*** L***,entity,### LORENE DR $,28957.89,,83
20021900080,B*** G*** I***,entity,### STILESBORO RD $,28341.0,,83
20021900080,B*** G*** I***,entity,### STILESBORO RD $,28322.2,,83
19087500730,R*** P*** S*** L***,entity,### MARIETTA ST $,26821.12,,83
19092200050,D*** C*** L***,entity,### EAST WEST CONN $,26322.29,,83
16071800020,I*** A*** L*** S*** L*** T***,entity,### COBB PLACE BLVD $,26014.86,,83
16082600340,1*** H*** G*** L***,entity,### HUNTERS GLN $,25165.54,,83
16071800080,T*** I*** A*** L*** S*** L***,entity,### COBB PLACE BLVD $,24495.86,,83
20019403110,M*** U*** L***,entity,### MARS HILL RD $,23862.96,,83
17057800030,H G*** H*** L***,entity,### FRANKLIN GATEWAY $,22393.39,,83
17083600380,4*** B*** L***,entity,### BROOKVIEW DR $,21687.09,,83
19061900380,H*** B*** C*** C*** I***,entity,### RED BARN RD $,21564.14,,83
16033400250,N*** N L***,entity,### GORDY PKWY $,21537.89,,83
19086100100,J*** P*** C*** W*** & L*** L***,entity,### EAST-WEST CONN $,20528.78,,83
19093900170,P*** M*** P*** I***,entity,### EWING RD $,20218.12,,83
17083600410,T*** L***,entity,### BROOKVIEW DR $,19121.94,,83
19092000290,N*** C*** P*** C*** L***,entity,### HOSPITAL SOUTH DR $,18889.57,,83
16064600050,D*** L***,entity,### GEORGE BUSBEE PKWY $,18758.54,,83
